period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12_hrs_from_dta_to_admission,emergency_admissions_via_aande_type_1,emergency_admissions_via_aande_type_2,emergency_admissions_via_aande_other_aande_department,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2599,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,24273,2871,9991,3267,447,749,9641,99,290,1271,34,34,3528,83,5443,115,96,409,27540,10912,60.4
2026-02-01,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13434,0,3334,0,0,0,6069,0,0,0,0,0,997,454,3880,0,0,2371,13434,6069,54.8
2026-02-01,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,24311,0,7273,0,0,1,10563,0,269,0,0,0,2196,1184,7794,0,109,1073,24311,10563,56.6
2026-02-01,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,6356,0,7221,0,0,0,3413,0,263,0,0,0,227,467,2210,0,241,677,6356,3413,46.3
2026-02-01,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6151,0,1807,0,0,0,2827,0,0,0,0,0,720,131,1792,0,0,361,6151,2827,54.0
2026-02-01,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7474,0,4949,693,0,351,3776,0,126,378,0,0,607,0,2082,0,0,408,8167,4154,49.1
2026-02-01,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6239,0,9986,0,0,0,3619,0,513,0,0,0,663,529,2409,0,34,1154,6239,3619,42.0
2026-02-01,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12627,2267,13122,0,0,0,5281,375,155,0,0,0,564,628,3385,0,0,1762,12627,5281,58.2
2026-02-01,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,8770,0,0,0,0,0,2958,0,0,0,0,0,903,54,1557,0,0,440,8770,2958,66.3
2026-02-01,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6796,0,5530,0,0,0,3794,0,38,0,0,0,558,523,1794,0,15,137,6796,3794,44.2
2026-02-01,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,7170,0,874,51,0,0,2577,0,0,0,0,0,428,546,1777,0,0,231,7221,2577,64.3
2026-02-01,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8037,1134,6654,268,1,989,4030,2,215,117,0,24,935,4,2917,0,0,3294,8305,4147,50.1
2026-02-01,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,9456,0,6214,0,0,0,3677,0,115,0,0,0,167,67,1886,0,0,247,9456,3677,61.1
2026-02-01,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,
2026-02-01,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5608,0,4955,0,0,0,2936,0,322,0,0,0,364,444,2502,0,0,1155,5608,2936,47.6
2026-02-01,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,8946,0,3879,0,0,580,3063,0,62,0,0,0,2445,178,3265,0,0,2497,8946,3063,65.8
2026-02-01,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4191,308,1723,195,0,0,1871,0,0,84,0,0,395,152,1221,0,0,900,4386,1955,55.4
2026-02-01,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1109,0,0,0,0,0,13,0,0,0,0,0,0,0,2,500,0,0,
2026-02-01,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4440,0,0,0,0,0,1021,0,0,0,0,0,34,1,559,0,0,168,4440,1021,77.0
2026-02-01,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,10171,1658,8131,0,0,1280,4926,95,172,0,0,0,627,63,3666,26,0,2700,10171,4926,51.6
2026-02-01,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9593,0,11737,0,0,0,2664,0,3,0,0,0,45,0,3832,0,13,507,9593,2664,72.2
2026-02-01,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1176,0,0,0,0,0,10,0,0,0,0,0,0,0,28,0,0,0,
2026-02-01,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,10569,1085,7702,397,0,0,5128,166,138,202,0,0,711,448,2292,0,37,96,10966,5330,51.4
2026-02-01,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11379,3441,6043,0,0,550,4645,28,245,0,0,0,494,0,3165,0,0,1091,11379,4645,59.2
2026-02-01,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4952,0,0,2110,0,0,30,0,0,20,0,0,0,0,0,0,0,0,
2026-02-01,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,168,0,0,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,116,0,0,410,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2026-02-01,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,40,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,484,0,0,2209,0,0,2,0,0,10,0,0,0,0,0,0,0,0,
2026-02-01,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,53,0,0,360,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2026-02-01,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,4662,0,0,167,0,0,243,0,0,1,0,0,0,0,0,0,0,0,
2026-02-01,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,10371,1235,5014,842,0,1363,5314,9,196,457,0,50,723,1,4199,20,0,1032,11213,5771,48.5
2026-02-01,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,24013,741,15869,0,0,0,10119,4,790,0,0,0,913,1271,3905,0,53,1254,24013,10119,57.9
2026-02-01,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,4633,0,5942,0,0,0,1969,0,23,0,0,0,520,18,1622,0,0,64,4633,1969,57.5
2026-02-01,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,15685,0,6585,214,0,0,6218,0,88,42,0,0,389,480,6608,0,0,654,15899,6260,60.6
2026-02-01,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,10322,335,5851,0,0,0,5614,0,248,0,0,0,760,406,4693,0,0,1506,10322,5614,45.6
2026-02-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5277,197,0,398,0,0,2307,0,0,0,0,0,419,262,1427,0,0,490,5675,2307,59.3
2026-02-01,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8288,0,0,0,0,0,3645,0,0,0,0,0,806,219,2553,0,3,2071,8288,3645,56.0
2026-02-01,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,10184,0,11887,0,0,0,4342,0,999,0,0,0,768,559,4438,0,0,252,10184,4342,57.4
2026-02-01,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,10054,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14733,1638,7259,494,0,0,7314,0,349,206,0,0,711,1234,4754,0,0,2234,15227,7520,50.6
2026-02-01,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,
2026-02-01,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8494,0,0,25,0,0,2102,0,0,0,0,0,372,1,3116,0,0,500,8519,2102,75.3
2026-02-01,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,14103,0,4300,316,0,384,5984,0,192,69,0,10,501,921,3550,0,46,1321,14419,6053,58.0
2026-02-01,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10319,0,4758,289,0,277,4672,0,88,69,0,9,480,558,2519,0,28,381,10608,4741,55.3
2026-02-01,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,9612,1058,0,0,0,0,2738,21,0,0,0,0,155,10,3412,8,0,1380,9612,2738,71.5
2026-02-01,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,10031,2388,2376,1239,21,0,3586,88,0,274,1,0,783,52,2106,0,0,335,11270,3860,65.7
2026-02-01,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,14807,0,14963,0,0,852,7625,0,234,0,0,8,1020,703,3485,0,0,484,14807,7625,48.5
2026-02-01,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8228,0,3579,299,0,0,2779,0,124,65,0,0,419,443,1782,0,0,532,8527,2844,66.6
2026-02-01,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,3856,0,0,73,0,69,2105,0,0,0,0,0,218,470,698,0,0,145,3929,2105,46.4
2026-02-01,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,14307,0,8138,54,0,425,6570,0,632,18,0,0,1448,833,3299,0,0,302,14361,6588,54.1
2026-02-01,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10460,0,4919,0,0,0,3976,0,376,0,0,0,843,365,3533,0,0,287,10460,3976,62.0
2026-02-01,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,8193,0,0,0,0,0,2212,0,0,0,0,0,237,269,1335,0,0,34,8193,2212,73.0
2026-02-01,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,10403,1380,6123,106,8,614,3647,54,145,22,0,2,848,511,2387,0,39,4004,10509,3669,65.1
2026-02-01,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11506,0,7127,0,0,0,3622,0,4,0,0,0,648,410,2068,0,0,1419,11506,3622,68.5
2026-02-01,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,7382,0,3259,34,0,6,3575,0,275,16,0,0,363,483,2304,0,102,921,7416,3591,51.6
2026-02-01,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,10902,0,3493,0,0,0,2879,0,37,0,0,0,612,344,3495,0,0,276,10902,2879,73.6
2026-02-01,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9960,0,8182,0,0,0,3820,0,7,0,0,0,569,504,1703,0,0,339,9960,3820,61.6
2026-02-01,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9778,640,1775,0,0,0,3806,22,15,0,0,0,349,856,2210,0,0,448,9778,3806,61.1
2026-02-01,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,8536,0,5282,273,0,975,3136,0,851,68,0,0,227,817,1581,0,0,492,8809,3204,63.6
2026-02-01,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,18241,0,5785,564,0,0,5070,0,234,0,0,0,913,43,2675,0,0,394,18805,5070,73.0
2026-02-01,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,16690,670,9963,42,0,416,6740,0,254,13,0,0,1002,884,3344,0,0,1120,16732,6753,59.6
2026-02-01,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",6165,0,5182,0,0,0,3757,0,213,0,0,0,656,520,1724,0,0,379,6165,3757,39.1
2026-02-01,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,11930,0,0,400,0,0,4489,0,0,106,0,0,219,510,2498,0,0,2774,12330,4595,62.7
2026-02-01,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7009,0,8090,0,0,2057,3486,0,319,0,0,37,372,35,2119,0,329,2448,7009,3486,50.3
2026-02-01,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,8262,0,0,13,0,0,2947,0,0,5,0,0,441,430,3123,0,0,2197,8275,2952,64.3
2026-02-01,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,10245,0,1883,0,0,0,3045,0,101,0,0,0,530,732,1848,0,0,80,10245,3045,70.3
2026-02-01,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,12507,0,10837,0,0,0,5609,0,251,0,0,0,476,995,2566,0,560,436,12507,5609,55.2
2026-02-01,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,8887,0,3896,0,0,0,4770,0,310,0,0,0,979,410,3733,0,0,1949,8887,4770,46.3
2026-02-01,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,16500,0,4132,0,0,0,6701,0,299,0,0,0,581,1296,4575,0,0,1222,16500,6701,59.4
2026-02-01,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7839,0,6667,0,0,673,2151,0,103,0,0,0,486,29,4313,0,0,666,7839,2151,72.6
2026-02-01,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,8724,0,7403,0,0,0,4954,0,88,0,0,0,501,209,2085,0,2,211,8724,4954,43.2
2026-02-01,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,7049,0,821,362,0,1375,2811,0,38,107,0,1,528,380,2272,0,66,993,7411,2918,60.6
2026-02-01,RWW,NHS ENGLAND NORTH WEST ,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,5982,0,2469,250,0,95,3167,0,36,80,0,3,491,825,1658,0,0,112,6232,3247,47.9
2026-02-01,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,11557,1728,8456,0,0,239,6776,203,1043,0,0,0,147,1066,3075,0,1270,3948,11557,6776,41.4
2026-02-01,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,8832,0,1825,1293,0,1522,3795,0,55,0,0,0,190,113,2637,0,0,508,10125,3795,62.5
2026-02-01,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7953,0,9216,291,0,347,3837,0,203,94,0,0,357,624,2389,0,0,1414,8244,3931,52.3
2026-02-01,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,11011,0,2907,148,0,105,4312,0,227,31,0,2,919,393,2770,0,92,1238,11159,4343,61.1
2026-02-01,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,12044,0,10190,0,0,0,4885,0,3,0,0,0,301,1059,3635,0,89,1701,12044,4885,59.4
2026-02-01,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,9920,0,2355,0,0,0,5562,0,345,0,0,0,475,1366,3299,0,161,1986,9920,5562,43.9
2026-02-01,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,0,0,
2026-02-01,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,12235,0,13616,0,0,0,6214,0,223,0,0,0,619,374,5817,0,0,282,12235,6214,49.2
2026-02-01,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,23361,0,8354,0,0,0,9499,0,324,0,0,0,807,1246,7263,0,326,2114,23361,9499,59.3
2026-02-01,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12017,0,0,522,0,0,3222,0,0,0,0,0,391,287,1260,0,0,320,12539,3222,74.3
2026-02-01,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10971,1655,3223,1442,0,170,3002,0,50,227,0,8,305,0,4780,100,15,4240,12413,3229,74.0
2026-02-01,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,10763,0,0,530,0,0,153,0,0,5,0,0,0,0,0,0,0,0,
2026-02-01,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,9755,1067,2840,1759,0,736,3810,26,0,510,0,15,799,1039,2984,0,0,2316,11514,4320,62.5
2026-02-01,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,1792,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,14252,2293,0,0,0,0,5165,225,0,0,0,0,979,440,4346,10,0,1504,14252,5165,63.8
2026-02-01,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,6951,0,2546,0,0,136,3741,0,67,0,0,2,440,758,1975,0,0,1781,6951,3741,46.2
2026-02-01,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,10507,0,8517,0,0,50,5465,0,220,0,0,0,552,196,2772,0,0,1570,10507,5465,48.0
2026-02-01,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,24307,473,14208,142,0,166,8072,10,871,51,0,24,836,1870,5783,1,91,718,24449,8123,66.8
2026-02-01,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,12080,0,4618,0,0,0,4902,0,0,0,0,0,214,685,1032,0,0,134,12080,4902,59.4
2026-02-01,TOTAL,TOTAL,TOTAL,1271830,47756,723986,26175,477,47226,519984,1914,19737,7252,35,444,77589,54649,355598,1281,5051,131085,1298005,527236,59.4
